Country,Continent,Life satisfaction,Years in education,Air pollution,Water quality,Unemployment rate,GDP per capita (USD)
Australia,Oceania,7.3,21.0,5.0,93.0,1.31,51885.47
Austria,Europe,7.1,17.0,16.0,92.0,1.84,48634.34
Belgium,Europe,6.9,19.3,15.0,84.0,3.54,43813.77
Canada,Americas,7.4,17.3,7.0,91.0,0.77,42080.05
Czech Republic,Europe,6.7,17.9,20.0,87.0,1.04,22627.47
Denmark,Europe,7.6,19.5,9.0,95.0,1.31,58438.85
Finland,Europe,7.6,19.8,6.0,95.0,2.13,48461.48
France,Europe,6.5,16.5,13.0,81.0,4.0,39257.43
Germany,Europe,7.0,18.1,14.0,91.0,1.57,45466.12
Greece,Europe,5.4,19.0,18.0,69.0,15.65,18168.34
Hungary,Europe,5.6,16.4,19.0,77.0,1.72,15372.89
Iceland,Europe,7.5,19.0,3.0,99.0,0.26,57189.03
Ireland,Europe,7.0,18.1,7.0,85.0,3.23,79668.5
Italy,Europe,6.0,16.6,18.0,71.0,6.59,30657.3
Japan,Asia,5.9,16.4,14.0,87.0,1.03,39047.86
Mexico,Americas,6.5,15.2,16.0,68.0,0.07,8069.1
Netherlands,Europe,7.4,18.7,14.0,93.0,1.97,51289.57
New Zealand,Oceania,7.3,17.7,5.0,89.0,0.74,38675.32
Norway,Europe,7.6,18.3,5.0,98.0,0.66,67988.59
Poland,Europe,6.1,17.6,22.0,82.0,1.52,15303.54
Portugal,Europe,5.4,16.9,10.0,86.0,4.43,21608.35
Slovak Republic,Europe,6.2,15.8,21.0,85.0,4.78,18669.3
Spain,Europe,6.3,17.9,11.0,72.0,7.66,26831.63
Sweden,Europe,7.3,19.3,6.0,96.0,1.12,50339.2
Switzerland,Europe,7.5,17.5,15.0,95.0,1.82,81867.46
Turkey,Europe,5.5,18.3,20.0,65.0,2.39,7715.37
United Kingdom,Europe,6.8,17.5,11.0,84.0,1.13,39228.52
United States,Americas,6.9,17.2,10.0,83.0,0.66,63051.4
Israel,Asia,7.2,15.6,21.0,67.0,0.49,41559.51
Slovenia,Europe,5.9,18.3,16.0,90.0,3.17,25038.79
Colombia,Americas,6.3,14.1,10.0,75.0,0.79,5207.24
